Title,URL,Address,Compensation,Employment Type,Description
Millwork Estimator,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-estimator/7059296582.html,"Brooklyn, NY","$50,000-$70,000/year depending on experience",full-time,"
        
Select NYC Millwork is a high-end millwork and furniture producer in New York City. We are looking for a qualified analytical millwork estimator to join the team. The job entails preparing detailed bid proposals from project plans & specifications. The candidate should be proficient in reading project plans and shop drawings, be highly motivated, detail-oriented and proficient communication. 

Responsibilities

1.	Read, analyze, calculate, interpret, and understand architectural drawings and specification documents.
2.	Review drawings and specifications to determine the scope of work
3.	Generate material take-off lists and costs 
4.	Obtain bids from vendors on specialty items
5.	Prepare job quotes/bids on company’s template 
6.	Follow up on bids as necessary to monitor our pricing compared to our competitors.
7.	Track quotes in CRM software 
8.	Communicate with the client including sending the quote, RFIs, and follow ups. 
9.	Self-motivation with the ability to work unsupervised
10.	Be familiar with cabinet construction and drawing requirements to adhere to the industry's governing bodies (AWI, QCP, LEED, FSC, etc.)

Experience Requirements:

1.	Estimating: 5 years 
2.	Millwork: 3 years 
3.	Computer experience in excel, word, outlook, CAD
4.	Knowledge of woodworking construction techniques
5.	Excellent communication skills
6.	Able to meet deadlines.
7.	Bachelor’s Degree in Engineering/ Math or similar preferred
8.	Take-off software skills is a plus
9.	CNC knowledge





    "
Millwork Engineer / CNC Programmer,https://newyork.craigslist.org/brk/egr/d/brooklyn-millwork-engineer-cnc/7059316143.html,Brooklyn,$60K-$85K,full-time,"
        
Millwork Engineer / CNC Programmer 

Select NYC Millwork is a high-end millwork and furniture producer in New York City. We are looking for an analytical and knowledgeable millwork Engineer to join the team. The job entails interpreting and engineering production drawings for production and installation teams. The candidate should have extensive knowledge of millwork construction and production methods and techniques with an excellent skillset of the design software.  

Responsibilities

1.	Read, analyze, calculate, interpret, and understand architectural drawings and specification documents.
2.	Prepare production ready shop drawings with exact construction and specification details.
3.	Value engineer the project ensuring optimal use of materials, construction methodology, manufacturing and installation to achieve design intent. 
4.	Modifying customers design for functionality and structural integrity
5.	Communicate with the client to approve shop drawings and present the plan to the production team. 
6.	Prepare CNC programs per the project requirements
7.	Work independently to move drawings and CNC operations ahead without supervision
8.	Operate CNC router if/when necessary
9.	Maintain organized CAD files/folders as required


Experience Requirements:

1.	Millwork production: 10 years 
2.	Manufacturing industry experience: 7 years 
3.	Exceptional knowledge of woodworking construction techniques and methods
4.	Excellent knowledge of materials, lighting, fixtures, and hardware.
5.	AutoCAD, Microvellum, Cabinet Vision, Cut Rite, BlueBeam and/or Alpha Cam experience preferred
6.	Computer experience in Excel and Word. 
7.	High level of commercial construction blueprint reading skills preferred
8.	Proficient in programming millwork, casework, and retail fixture parts.
9.	Background in millwork and furniture engineering, 
10.	Proficient knowledge in CNC programming for wood, solid surface and acrylic applications
11.	Bachelor’s Degree in Engineering/ Math or similar preferred
12.	Able to multi-task and meet strict deadlines
13.	Excellent communication skills
14.	Must read, write, and speak English
15.	Self-motivation with the ability to work unsupervised
16.	Be familiar with millwork construction and drawing requirements to adhere to the industry's governing bodies (AWI, QCP, LEED, FSC, etc.)






    "
Midsize Architectural firm seeks Graduates,https://newyork.craigslist.org/que/egr/d/flushing-midsize-architectural-firm/7059372984.html,Flushing,Payment per experience,contract,"
        
Midsize Architectural firm in Queens seeking architectural and Engineering  college students  graduates for internship, paid internships and for Permenant employment possibilities. Chinese speaking is a plus.
All applicants welcome.    "
Junior Architect/ Intern,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-intern/7059436981.html,Lower East Side,hourly,part-time,"
        
Small Architectural / Interior Design firm located in the Lower East Side, specializing in residential and commercial projects, seeks an architectural intern. Work will consist of assisting in all phases of schematic design, design development, preparation of DOB/ LPC drawings and applications, construction documents, construction site visits, archiving, material sourcing, specifications, presentations and general office activities. 

Candidates must be highly motivated, quick learners, with a passion for architecture and desire to learn and grow. Excellent AutoCAD drafting abilities and 3D rendering skills are a must. Candidates must be responsible, organized, punctual, reliable, have good communication skills, and be team-players, capable of multi-tasking and focused on producing accurate results.  
 
Please send:

1.	pdf samples of your work and include a brief description of your role in the work presented
2.	a cover letter and your resume 
3.	indicate your availability
4.	indicate your hourly fee requirements
    "
Project Architect(s),https://newyork.craigslist.org/que/egr/d/project-architects/7059531617.html,"Jamaica, Queens",Commensurate with Experience,full-time,"
        
Mssa, a Small Successful 8-Person Architectural studio based in Queens is seeking Project Architect(s). Our projects include single-family residential, multifamily, and mixed-use hospitality projects. The studio offers an opportunity to be involved in all phases of the urban built environment from Design Development, Construction Documents, Consultant Coordination and City Approvals to Project Close up. The candidate shall be willing to work on a whole range of projects from small extensions to multifamily and hospitality.

Requirements
• BS or 5-year Professional degree in Architecture
• Minimum 3 years US experience in an architecture office
• Proven ability to produce Construction Documents
• Working knowledge of NYC code and zoning regulations
• Familiarity with DOB procedures a plus
• Site visits and requisition review
• Check submittals and respond to requests for information
• Fluent with Autocad Architecture 2017/18
• Revit 2017 Experience a plus
• Strong work ethic 
• Fluent English 

Please submit your resume including work samples with a particular emphasis on construction documents.
    "
Architect-Construction Administration-Revit | Multi Family Residential,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-construction/7059565287.html,Downtown,90-100K,full-time,"
        
Project Manager | Construction Administration

Our Client:
NYC award winning architecture, design and planning firm that focuses upon sustainability and social responsibility.

Position Description:
This award winning firm is looking to add a PM to their team that has significant Construction Administration experience.  The PM will be working on various projects including multi-family residential and utility building projects.  Candidate should be proficient in the hands on use of Revit and have 6-15 years of similar professional experience. 

Required Education:
Bachelor of Architect or Master of Architecture

Salary:
Up to 100k

Benefits:
A full comprehensive benefit package is available.    "
Office Administrator Wanted @ Architectural Firm,https://newyork.craigslist.org/mnh/egr/d/new-york-office-administrator-wanted/7048462384.html,Upper West Side,$35K-$40K Annually,full-time,"
        
We are a small residential architectural firm seeking an Office Administrator candidate with prior experience in the design industry and with working knowledge of Excel and MS Word (AutoCad, Sketch-Up and Adobe Suite are a plus). The position is full-time with immediate availability. 

Duties Include:
Answering Calls
Preparing and issuing invoices via Excel
Preparing and issuing proposals via MS Word
Maintain Sample Department / Library 
Filing
Assist Staff as Needed

Required Skills:
Professionalism
Ability to Multi-Task 
Great Organizational Skills 
Portfolios Welcomed

Email cover letter, resume, and portfolio (if available). 
No phone calls, please.    "
Architectural Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7048463475.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM New York is looking for a highly motivated Senior Drafter/Job Captain who has a passion for understanding weather related problems that occur on existing older buildings.

Responsibilities include, but not limited to: 
Coordinate and develop construction documents
Take on technically challenging issues with Project Manager
Perform code and zoning analyses
Review and redline drawings
Oversee drafters as required
Produce deliverables without requiring constant supervision
Organize and lead site visits and surveys
Conduct material research and meet with vendor as necessary, to understand
materials and products
Take initiative to complete work

Requirements:
Bachelor’s Degree in Architecture
3 or more years’ experience in an Architect’s office
Must be proficient in AutoCAD, Revit and other applicable industry software
General understanding of codes and zoning
General knowledge of building details and construction administration 
Experience working with exterior envelope
Positive attitude and driven to succeed

. Compensation and Benefits:
•	We offer an excellent benefit package
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Salary commensurate with level of experience
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational program
•	Creative and innovative work environment
.

Interested candidates should forward their cover letter and resume 
Please include Senior Drafter/Job Captain in the subject. No phone calls, please.
    "
Designer/Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-designer-architect/7048525636.html,Midtown West,Competitive Salary - DOE,full-time,"
        
SBLM Architects is a nationally recognized firm dedicated to realizing our clients’ goals through results-oriented architecture. The New York City headquarters and branch offices in Long Island, Miami, Dallas, and Dublin, IRL offer a wide range of services through five Design Studios: Mixed-use & Residential, Education, Retail & Commercial, Healthcare & Wellness, and Civic. 

The position is for a design role in the New York City headquarters office, located in the Hell’s Kitchen neighborhood of Manhattan. The position will support a wide range of projects primarily from the retail, mixed-use, education, and healthcare sectors. 

Requirements:
•	Bachelor’s or equivalent professional degree in Architecture
•	3-10 years of professional experience as a designer in an architectural office
•	Outstanding conceptual, planning and design skills
•	Ability to prepare construction documents and develop designs in documents
•	Strong skillset with Adobe Suite, Autodesk Software and a Modeling/Rendering package
•	Experience as a designer on built projects
•	Organizational skills and ability to work individually and to collaborate in a team
•	Clear and concise communication skills

During the interview candidates will be asked to demonstrate their experience and skillset for creating presentation materials for use in communicating their ideas to clientele, they will be asked to present an examples of their program-layout and planning experience, aesthetic decisions and justifications, and development of design concepts into design documents.   

Submissions:
Candidates should provide a resume and introduction on what they would bring to the position. 
They must include a portfolio of work via link or attachment. Attachments should not exceed 10MB and be in must be in PDF format.

Compensation and Benefits:
•	We offer an excellent benefit package
•	Benefits include Medical/Dental/Vision insurance plans, 401k Retirement plan, Flexible Spending Plan which includes transportation, parking, and more. 
•	Salary commensurate with level of experience
•	Our company culture features professional learning and growth opportunities, rewarding project types to participate in and free ongoing professional educational program
•	Creative and innovative work environment

Please submit resume and cover letter
    "
Electronic technician,https://newyork.craigslist.org/wch/egr/d/port-chester-electronic-technician/7048566280.html,PORT CHESTER or Tarrytown,to be discussed at interview,full-time,"
        
We're looking for a technician for a phone repair store. He/she has to be able to repair most electronics from phones to computers. Please send your resume to the posted email. Thank you.    "
Sales & Design Coordinator,https://newyork.craigslist.org/mnh/egr/d/new-york-sales-design-coordinator/7048605165.html,Murray Hill,"This role offers a competitive salary in addition to inclusion in the company’s profit sharing, 401K, medical, and dental programs.",full-time,"
        
Amuneal Manufacturing Corp. has an immediate opening in our New York Showroom for a Sales & Design Coordinator.  This role will focus on our luxury furniture and architectural product offerings. This role is primarily responsible for customer support and collaboration with our Sales + Design team.  

Confidence, a clean design aesthetic, the ability to spark interest in others, direct customer interaction and experience in the selling of high-end designed products are a must. Candidates must have the ability to organize their own time, multitask in a dynamic environment, be proactive, and above all else…problem solve. We are looking for someone who is eager to connect with people and translate their needs into timeless experiences and products. To be successful, candidates must have a strong interest in the creation of high-end products. Candidates must be looking for a role where they are part of a collaborative environment and able to make an impact on the organization each day.








Please submit both resume and cover letter for consideration.


    "
Project Manager/Site Superintendent,https://newyork.craigslist.org/que/egr/d/long-island-city-project-manager-site/7048647059.html,NYC,TBD,full-time,"
        
To provide Management, Supervision and coordination for all phases of NYC School Construction Authority projects, including coordinating subcontractors, material and equipment, ensuring that specifications are being strictly followed, and work is proceeding on schedule and within budget. PM/Superintendent shall be responsible for scheduling, inspections, quality control, and job site safety. 

Essential Functions / Major Responsibilities of PM/Superintendent: 
 
Schedule subcontractors, consultants, and vendors in critical path to ensure timely completion.  
Perform quality control duties and responsibilities regarding the work being performed.  
Communicate with project team regarding Change Orders, RFI’s, and Material Submittals. 
Ensure that subcontractors are fully executing and complying with his contracted scope of work.  
Coordinate required inspections with local owner QA-QC and Controlled lab.  
Identify subcontractor non-compliance with safety, health, and environmental quality standards.  
Identify conflicts in construction progress and communicate them to project team for resolution.  
Maintain daily log (written) of activities on the jobsite.  
 Ensure subcontractor has corrected all deficiencies identified by project team.  
Preside over weekly subcontractor meetings designed to coordinate the work.  
Issue notices of non-compliance to subcontractors in regards to quality of work or scheduling or safety.  
Ensure that the job site is always kept in a clean and organized manner.  
Perform job progress and completion punch list identification and completion. 
 
Secondary Functions:  
 
Assist in budgeting, bidding, and award of subcontracts.  
Assist in obtaining permits or approval of revisions.  
Gather project material submittals and maintain records of approvals at the job-site.  
Preside at pre-construction meeting with each subcontractor.  
Assist in hiring sub-tier employees. 

    "
ARCHITECT / DRAFTER,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-drafter/7048900445.html,Brooklyn,Based on qualification,full-time,"
        
Busy Design and Consulting firm is looking for a talented individual to join our team.

Our work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects.

Responsibilities will include production of design development and construction documents, Candidates must be self-motivated, reliable and able to manage all aspects of a project.

Candidate Qualifications:
Be familiar with NYC codes and zoning.
Knowledge of construction materials, details and methods.
Proficiency in Revit and AutoCAD.

We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges

Qualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format    "
Structural Engineer,https://newyork.craigslist.org/que/egr/d/structural-engineer/7048984818.html,Rego Park,medical coverage,full-time,"
        
R & O Engineering, PC one of the leading Structural Engineering Company in Queens, NY is seeking a full time Structural Engineer. Responsibilities for this job includes planing, reviewing, and finalizing projects according to deadlines.

REQUIREMENTS AND RESPONSIBILITIES

· BS or MS degree in Structural or Civil Engineering.
. Structural analysis and design- more than three years.
· Excellent communication skills (internal and external).
· Experience in NYC projects, working knowledge of New York City codes.
· Manage multiple projects.
· Ability to effectively manage multiple tasks and projects in the same time.
· Proven ability to successfully deliver projects on time.
. Engineering of steel, light gauge design, masonry design and Concrete superstructures.
. Design of structural  systems for small complex buildings.
· Visual acuity adequate to perform job duties, including reading information from printed sources and computer screen.
. Be informed and communicative about new and old projects.
. Coordinate and respond to client requests for changes in project scope, address revisions.
. Knowledge of structural software skills including AutoCAD, Etabs, RAM, Safe, and PCA, 

R & O Engineering is proud to be an equal opportunity employer. We offer a competitive salary and good benefits package, including healthcare benefits. Interested candidates, please forward resume and salary requirements.

Job Type: Full-time

    "
Class 2 Senior Project Manager / Code Consultant,https://newyork.craigslist.org/mnh/egr/d/new-york-class-2-senior-project-manager/7048988980.html,Midtown West,"Competitive Compensation- commensurate with experience and includes health, dental and vision options available. Paid vacation, personal, and sick days as well.",full-time,"
        
A Manhattan based full-service expediting, building compliance and consulting firm, is seeking a full-time, experienced Senior Project Manager / Code Consultant who possesses a Class 2 DOB License.

Required Credentials for Position:
•	Active NYC DOB Code and Zoning Representative Class 2 License & FDNY File Rep ID
•	Minimum five to ten (5-10) years of relevant experience and working with agencies such as DOB, FDNY, 
        ECB, DEP...etc.
•	Ability to attend appointments with Department of Buildings Plan Examiners to review and answer 
        objections and report back to the superiors
•	Ability to attend Environmental Control Board Hearings and aid in dismissing open violations (A PLUS)
•	Responsible for following up on all submissions and report Department of Buildings findings to the office
•	Review architectural and engineering plans for compliance to applicable building codes and zoning 
        regulations.
•	Distribute the forms to the architect, engineer, building owner, contractor, etc., in order to obtain the 
        required signatures and seals.
•	Coordinate the submission of the architectural and or engineering plans to DOB.
•	Correspondence and communication with the architect, engineer, building owner, contractor, etc. to resolve 
        DOB objections and obtain approval and work permits.
•	Serve as a liaison between the field personnel and the architect, engineer, building owner, contractor, etc. to 
        resolve DOB objections and obtain approval and work permits and sign-offs.
•	Experience with the preparation of DOB forms, permits and violation documentation
•	Experience with Development Hub
•	Experience with DOB NOW
•	Able to use Microsoft Office Suite (OUTLOOK, WORD, EXCEL)
•	Responsible for following up on all projects
•	Professional attitude with great communication (written and verbal) and organizational skills a must
•	Ability to the follow office protocols and procedures a must
•	Team Player with strong Project Management skills

Education Requirements:
•	College Degree in Related Field (preferred)

Compensation: Competitive Compensation- commensurate with experience and includes health, dental and vision options available. Paid vacation, personal, and sick days as well.

Job Type: Full-time
    "
Project Manager (DOB Class 1 or 2 ID),https://newyork.craigslist.org/mnh/egr/d/new-york-project-manager-dob-class-1-or/7048996998.html,Midtown West,"Competitive Compensation- commensurate with experience and includes health, dental and vision options available. Paid vacation, personal, and sick days as well.",full-time,"
        
A Manhattan based full-service expediting and consulting firm, is seeking a full-time, experienced Project Manager with a Class 1 or 2 DOB File Rep ID

Required Credentials for Position:
• Active NYC DOB Code and Zoning Representative Class 1 or 2 License
• Minimum five (5) years of relevant experience with filing procedures at DOB, FDNY, LPC, DEP, DOT, MTA,
  ECB...etc.
• Ability to attend appointments with Department of Buildings Plan Examiners to review and answer
  objections and report back to the superiors
• Responsible for following up on all submissions
• Report Department of Buildings findings to the office
• Professional attitude with great communication (written and verbal) and organizational skills a must
• Able to use Microsoft Office Suite (outlook, word, excel)
• Ability to the follow office protocols and procedures a must
• Experience with the preparation of DOB application forms and permits a plus
• Experience with Development Hub 
• Experience with DOB NOW
• Active FDNY ID a plus
• Knowledge and understanding of construction plans and documents a plus
• Punctual

Education Requirements:
• College Degree in Related Field (preferred)

Compensation: Competitive Compensation- commensurate with experience and includes health, dental and vision options available. Paid vacation, personal, and sick days as well.

Note: Principals only. Recruiters, please don't contact this job poster. DO NOT contact us with unsolicited services or offers

Job Type: Full-time
    "
engineer- structural,https://newyork.craigslist.org/mnh/egr/d/new-york-engineer-structural/7049049876.html,new york,good compensation and advancement opportunities,full-time,"
        
Project structural engineer for design of building projects. 
Good communication skills required.
    "
